time_s,event,ap_id,x,y,station_m
0.05,assoc,H0,0.17,0.00,0.17
56.29,deassoc,H0,183.70,3.76,187.46
56.30,assoc,H1,183.70,3.77,187.47
146.35,deassoc,H1,318.50,7.08,381.48
146.50,deassoc,H1,318.50,7.60,382.00
146.50,assoc,H3,318.50,7.60,382.00
151.44,deassoc,H3,318.50,24.06,398.46
151.50,assoc,H4,318.50,24.23,398.63
163.68,deassoc,H4,318.50,51.80,426.20
163.68,assoc,H3,318.50,51.80,426.20
