time_s,x,y,best_ap,rssi_dbm,assoc_ap,rssi_assoc_dbm
41.00,0.00,22.79,C2,-42.81,H3,-62.80
42.00,0.00,25.01,C2,-43.95,H3,-63.15
43.00,0.00,27.23,C1,-43.84,H3,-63.49
44.00,0.00,29.45,C1,-42.67,H3,-63.83
45.00,0.00,31.67,C1,-41.31,H3,-64.16
46.00,0.00,33.89,C1,-39.69,H3,-64.48
47.00,0.00,36.11,C1,-37.67,H3,-64.79
48.00,0.00,38.33,C1,-34.98,H3,-65.10
49.00,0.00,40.55,C1,-30.97,H3,-65.40
50.00,0.00,42.77,C1,-22.86,H3,-65.69
51.00,0.00,44.99,C1,-23.83,H3,-65.98
52.00,0.00,47.21,C1,-31.34,H3,-66.27
53.00,0.00,49.43,C1,-35.21,H3,-66.55
54.00,0.00,51.65,C1,-37.84,H3,-66.82
55.00,0.00,53.87,H2,-39.32,H3,-67.09
56.00,0.00,56.09,H2,-38.77,H3,-67.35
57.00,0.00,58.31,H2,-38.19,H3,-67.61
58.00,0.00,60.53,H2,-37.57,H3,-67.86
59.00,0.00,62.75,H2,-36.89,H3,-68.11
60.00,0.00,64.97,H2,-36.15,H3,-68.36
61.00,0.00,67.19,H2,-35.34,H3,-68.60
62.00,0.00,69.41,H2,-34.44,H3,-68.84
63.00,0.00,71.63,H2,-33.43,H3,-69.07
64.00,0.00,73.85,H2,-32.28,H3,-69.30
65.00,0.00,76.07,H2,-30.95,H3,-69.53
66.00,0.00,78.29,H2,-29.35,H3,-69.75
67.00,0.00,80.51,H2,-27.37,H3,-69.97
68.00,0.00,82.73,H2,-24.76,H3,-70.19
69.00,0.00,84.95,H2,-20.92,H3,-70.41
70.00,0.00,87.17,H2,-13.52,H3,-70.62
71.00,0.00,89.39,H2,-10.02,H3,-70.82
72.00,0.00,91.61,H2,-19.39,H3,-71.00
73.00,0.00,93.83,H2,-23.83,H3,-70.79
74.00,0.00,96.05,H2,-26.70,H3,-70.59
75.00,0.00,98.27,H2,-28.83,H3,-70.37
76.00,0.00,100.49,H2,-30.52,H3,-70.16
77.00,0.00,102.71,H2,-31.92,H3,-69.94
78.00,0.00,104.93,H2,-33.12,H3,-69.72
79.00,0.00,107.15,H2,-34.17,H3,-69.50
80.00,0.00,109.37,H2,-35.09,H3,-69.27
81.00,0.00,111.59,H2,-35.93,H3,-69.04
82.00,0.00,113.81,H1,-35.26,H3,-68.80
83.00,0.00,116.03,H1,-34.35,H3,-68.57
84.00,0.00,118.25,H1,-33.33,H3,-68.32
85.00,0.00,120.47,H1,-32.16,H3,-68.08
86.00,0.00,122.69,H1,-30.80,H3,-67.83
87.00,0.00,124.91,H1,-29.18,H3,-67.57
88.00,0.00,127.13,H1,-27.15,H3,-67.31
89.00,0.00,129.35,H1,-24.45,H3,-67.05
90.00,0.00,131.57,H1,-20.42,H3,-66.78
91.00,0.00,133.79,H1,-12.24,H3,-66.51
92.00,0.00,136.01,H1,-12.26,H3,-66.23
93.00,0.00,138.23,H1,-20.43,H3,-65.94
94.00,0.00,140.45,H1,-24.46,H3,-65.65
95.00,0.00,142.67,H1,-27.15,H3,-65.36
96.00,0.00,144.89,H1,-29.18,H3,-65.05
97.00,0.00,147.11,H1,-30.80,H3,-64.75
98.00,0.00,149.33,H1,-32.16,H3,-64.43
99.00,0.00,151.55,H1,-33.33,H3,-64.11
100.00,0.00,153.77,H1,-34.35,H3,-63.78
101.00,0.00,155.99,H1,-35.26,H3,-63.44
102.00,0.00,158.21,H1,-36.08,H3,-63.10
103.00,0.00,160.43,H1,-36.82,H3,-62.75
104.00,0.00,160.80,H1,-36.94,H3,-62.69
105.00,0.00,160.80,H1,-36.94,H3,-62.69
106.00,0.00,160.80,H1,-36.94,H3,-62.69
107.00,0.00,160.80,H1,-36.94,H3,-62.69
108.00,0.00,160.80,H1,-36.94,H3,-62.69
109.00,0.00,160.80,H1,-36.94,H3,-62.69
110.00,0.00,158.95,H1,-36.33,H3,-62.98
111.00,0.00,156.73,H1,-35.54,H3,-63.33
112.00,0.00,154.51,H1,-34.66,H3,-63.67
113.00,0.00,152.29,H1,-33.68,H3,-64.00
114.00,0.00,150.07,H1,-32.57,H3,-64.32
115.00,0.00,147.85,H1,-31.28,H3,-64.64
116.00,0.00,145.63,H1,-29.75,H3,-64.95
117.00,0.00,143.41,H1,-27.88,H3,-65.26
118.00,0.00,141.19,H1,-25.45,H3,-65.55
119.00,0.00,138.97,H1,-22.00,H3,-65.85
120.00,0.04,136.76,H1,-16.15,H3,-66.13
121.00,1.64,135.23,H1,-16.45,H3,-66.53
122.00,3.69,134.80,H1,-21.44,H3,-66.84
123.00,5.91,134.80,H1,-25.09,H3,-67.10
124.00,8.13,134.80,H1,-27.61,H3,-67.37
125.00,10.35,134.80,H1,-29.54,H3,-67.63
126.00,12.57,134.80,H1,-31.10,H3,-67.88
127.00,14.79,134.80,C3,-43.90,H3,-54.38
128.00,17.01,134.80,C3,-42.75,H3,-54.06
129.00,19.23,134.80,C3,-41.41,H3,-53.73
130.00,21.45,134.80,C3,-39.80,H3,-53.39
131.00,23.67,134.80,C3,-37.81,H3,-53.04
132.00,25.89,134.80,C3,-35.18,H3,-52.69
133.00,28.11,134.80,C3,-37.63,H3,-53.02
134.00,30.33,134.80,C3,-39.66,H3,-53.36
135.00,32.55,134.80,C3,-41.29,H3,-53.70
136.00,34.77,134.80,C3,-42.65,H3,-54.03
137.00,36.99,134.80,C3,-43.82,H3,-54.35
138.00,39.21,134.80,C7,-44.50,H3,-67.90
139.00,41.43,134.80,C7,-43.43,H3,-67.65
140.00,43.65,134.80,C7,-42.21,H3,-67.39
141.00,45.87,134.80,C7,-40.77,H3,-67.12
142.00,48.09,134.80,C7,-39.02,H3,-66.86
143.00,50.31,134.80,C7,-36.80,H3,-66.58
144.00,51.98,134.82,C7,-34.71,H3,-66.38
145.00,51.96,133.21,C7,-31.85,H3,-66.58
146.00,51.96,130.99,C7,-25.03,H3,-66.85
147.00,51.96,129.86,C7,-20.52,H3,-66.99
148.00,50.29,128.43,C7,-30.58,H3,-67.36
149.00,48.61,126.98,C7,-35.99,H3,-67.72
150.00,46.92,125.53,C7,-39.22,H3,-68.07
151.00,45.24,124.09,C7,-41.54,H3,-68.42
152.00,43.55,122.64,H5,-42.74,H3,-68.76
153.00,41.87,121.19,H5,-42.82,H3,-69.09
154.00,41.47,120.85,H5,-42.84,H3,-69.17
155.00,41.47,120.85,H5,-42.84,H3,-69.17
156.00,41.47,120.85,H5,-42.84,H3,-69.17
157.00,41.47,120.85,H5,-42.84,H3,-69.17
158.00,41.47,120.85,H5,-42.84,H3,-69.17
159.00,41.47,120.85,H5,-42.84,H3,-69.17
160.00,41.91,121.23,H5,-42.82,H3,-69.08
161.00,43.60,122.68,H5,-42.74,H3,-68.75
162.00,45.28,124.12,C7,-41.49,H3,-68.41
163.00,46.97,125.57,C7,-39.15,H3,-68.07
164.00,48.65,127.02,C7,-35.88,H3,-67.71
165.00,50.33,128.46,C7,-30.38,H3,-67.35
166.00,51.96,129.94,C7,-20.52,H3,-66.98
167.00,51.99,132.16,C7,-29.38,H3,-66.71
168.00,50.86,133.89,C7,-34.92,H3,-66.63
169.00,49.00,134.80,C7,-38.18,H3,-66.75
170.00,46.78,134.80,C7,-40.09,H3,-67.02
171.00,44.56,134.80,C7,-41.65,H3,-67.28
172.00,42.34,134.80,C7,-42.95,H3,-67.54
173.00,40.12,134.80,C7,-44.08,H3,-67.80
174.00,37.90,134.80,C3,-44.25,H3,-54.48
175.00,35.68,134.80,C3,-43.15,H3,-54.16
176.00,33.46,134.80,C3,-41.88,H3,-53.84
177.00,31.24,134.80,C3,-40.37,H3,-53.50
178.00,29.02,134.80,C3,-38.53,H3,-53.16
179.00,26.91,134.97,C3,-36.49,H3,-52.85
180.00,26.00,136.98,C3,-37.70,H3,-53.03
181.00,26.00,139.20,C3,-39.72,H3,-53.37
182.00,26.00,141.42,C3,-41.34,H3,-53.71
183.00,26.00,143.64,C3,-42.69,H3,-54.04
184.00,26.00,145.86,H1,-42.44,H3,-54.36
185.00,26.00,148.08,H1,-41.14,H3,-54.68
186.00,26.00,150.30,H1,-39.58,H3,-54.99
187.00,26.00,152.52,H1,-37.66,H3,-55.29
188.00,26.00,154.74,H1,-35.16,H3,-55.59
189.00,26.00,156.96,H1,-31.54,H3,-55.88
190.00,26.00,159.18,H1,-24.96,H3,-56.17
191.00,26.00,160.80,H1,-20.02,H3,-56.37
192.00,26.00,160.80,H1,-20.02,H3,-56.37
193.00,26.00,160.80,H1,-20.02,H3,-56.37
194.00,26.00,160.80,H1,-20.02,H3,-56.37
195.00,26.00,160.80,H1,-20.02,H3,-56.37
196.00,26.00,160.80,H1,-20.02,H3,-56.37
197.00,25.80,131.86,C3,-29.73,H3,-52.22
198.00,25.07,24.66,C5,-32.91,H3,-34.63
199.00,23.19,0.00,H4,-19.54,H3,-42.61
200.00,20.97,0.00,H4,-23.92,H3,-43.30
201.00,18.75,0.00,H4,-26.77,H3,-43.96
202.00,16.53,0.00,H4,-28.88,H3,-44.60
203.00,14.31,0.00,H4,-30.56,H3,-45.20
204.00,12.09,0.00,C2,-45.32,H3,-60.98
205.00,9.87,0.00,C2,-44.36,H3,-60.57
206.00,7.65,0.00,C2,-43.27,H3,-60.15
207.00,5.43,0.00,C2,-42.02,H3,-59.72
208.00,3.21,0.00,C2,-40.54,H3,-59.28
209.00,1.30,0.77,C2,-38.31,H3,-59.04
210.00,0.00,2.43,C2,-34.84,H3,-59.12
211.00,0.00,4.65,C2,-30.74,H3,-59.57
212.00,0.00,6.87,C2,-22.23,H3,-60.00
213.00,0.00,9.09,C2,-21.96,H3,-60.43
214.00,0.00,11.09,C2,-30.09,H3,-60.80
215.00,0.00,13.31,C2,-34.45,H3,-61.20
216.00,0.00,15.53,C2,-37.29,H3,-61.59
217.00,0.00,17.75,C2,-39.40,H3,-61.97
218.00,0.00,19.97,C2,-41.07,H3,-62.34
219.00,0.07,21.05,C2,-41.82,H3,-62.53
220.00,1.75,22.49,C2,-43.58,H3,-63.03
221.00,3.44,23.94,C2,-45.02,H3,-63.52
222.00,5.12,25.39,C2,-46.25,C5,-70.86
223.00,6.80,26.83,C1,-46.77,C5,-71.44
224.00,8.49,28.28,C1,-46.85,C5,-72.00
225.00,10.17,29.73,C1,-46.93,C5,-72.54
226.00,10.49,30.00,C1,-46.95,C5,-72.63
227.00,10.49,30.00,C1,-46.95,C5,-72.63
228.00,10.49,30.00,C1,-46.95,C5,-72.63
229.00,10.49,30.00,C1,-46.95,C5,-72.63
230.00,10.49,30.00,C1,-46.95,C5,-72.63
231.00,10.49,30.00,C1,-46.95,C5,-72.63
232.00,9.97,29.55,C1,-46.92,C5,-72.47
233.00,8.28,28.10,C1,-46.84,C5,-71.93
234.00,6.60,26.66,C1,-46.76,C5,-71.37
235.00,4.91,25.21,C2,-46.11,C5,-70.79
236.00,3.23,23.76,C2,-44.86,C5,-70.18
237.00,1.55,22.32,C2,-43.38,C5,-69.55
238.00,0.00,21.17,C2,-41.86,C5,-68.98
239.00,0.00,23.39,C2,-43.13,C5,-69.45
240.00,0.00,25.61,C2,-44.24,C5,-69.91
241.00,0.00,27.83,C1,-43.54,C5,-70.35
242.00,0.00,30.05,C1,-42.33,C5,-70.77
243.00,0.00,32.27,C1,-40.91,C5,-71.19
244.00,0.00,34.49,C1,-39.19,C5,-71.59
245.00,0.00,36.71,C1,-37.02,C5,-71.99
246.00,0.00,38.93,C1,-34.08,C5,-72.37
247.00,0.00,41.15,C1,-29.44,C5,-72.75
248.00,0.00,43.37,C1,-20.52,C5,-73.11
249.00,0.00,45.59,C1,-26.61,C5,-73.46
250.00,0.00,47.81,C1,-32.58,C5,-73.81
251.00,0.00,50.03,C1,-36.01,C5,-74.15
252.00,0.00,52.25,C1,-38.42,C5,-74.48
253.00,0.00,54.47,H2,-39.17,C5,-74.81
254.00,0.00,56.69,H2,-38.62,C5,-75.12
255.00,0.00,58.91,H2,-38.03,C5,-75.44
256.00,0.00,61.13,H2,-37.39,C5,-75.74
257.00,0.00,63.35,H2,-36.70,C5,-76.04
258.00,0.00,65.57,H2,-35.94,C5,-76.33
259.00,0.00,67.79,H2,-35.11,C5,-76.62
260.00,0.00,70.01,H2,-34.18,C5,-76.90
261.00,0.00,72.23,H2,-33.14,C5,-77.17
262.00,0.00,74.45,H2,-31.94,C5,-77.44
263.00,0.00,76.67,H2,-30.55,C5,-77.71
264.00,0.00,78.89,H2,-28.86,C5,-77.97
265.00,0.00,81.11,H2,-26.75,C5,-78.23
266.00,0.00,83.33,H2,-23.89,C5,-78.48
267.00,0.00,85.55,H2,-19.48,C5,-78.73
268.00,0.00,87.77,H2,-10.02,C5,-78.97
269.00,0.00,89.99,H2,-13.32,C5,-79.21
270.00,0.00,92.21,H2,-20.84,C5,-79.45
271.00,0.00,94.43,H2,-24.71,C5,-79.68
272.00,0.00,96.65,H2,-27.33,C5,-79.91
273.00,0.00,98.87,H2,-29.32,C5,-80.14
274.00,0.00,101.09,H2,-30.92,C5,-80.36
275.00,0.00,103.31,H2,-32.26,C5,-80.58
276.00,0.00,105.53,H2,-33.41,C5,-80.79
277.00,0.00,107.75,H2,-34.43,C5,-81.00
278.00,0.00,109.97,H2,-35.33,C5,-81.21
279.00,0.00,112.19,H1,-35.86,C5,-81.42
280.00,0.00,114.41,H1,-35.02,C5,-81.45
281.00,0.00,116.63,H1,-34.08,C5,-81.24
282.00,0.00,118.85,H1,-33.03,C5,-81.03
283.00,0.00,121.07,H1,-31.81,C5,-80.82
284.00,0.00,123.29,H1,-30.39,C5,-80.61
285.00,0.00,125.51,H1,-28.67,C5,-80.39
286.00,0.00,127.73,H1,-26.50,C5,-80.17
287.00,0.00,129.95,H1,-23.54,C5,-79.94
288.00,0.00,132.17,H1,-18.89,C5,-79.71
289.00,0.00,134.39,H1,-10.02,C5,-79.48
290.00,0.00,136.61,H1,-15.37,C5,-79.24
291.00,0.00,138.83,H1,-21.73,C5,-79.01
292.00,0.00,141.05,H1,-25.27,C5,-78.76
293.00,0.00,143.27,H1,-27.75,C5,-78.51
294.00,0.00,145.49,H1,-29.65,C5,-78.26
295.00,0.00,147.71,H1,-31.19,C5,-78.01
296.00,0.00,149.93,H1,-32.49,C5,-77.75
297.00,0.00,152.15,H1,-33.62,C5,-77.48
298.00,0.00,154.37,H1,-34.60,C5,-77.21
299.00,0.00,156.59,H1,-35.49,C5,-76.94
300.00,0.00,158.81,H1,-36.28,C5,-76.65
301.00,0.00,160.80,H1,-36.94,C5,-76.40
302.00,0.00,160.80,H1,-36.94,C5,-76.40
303.00,0.00,160.80,H1,-36.94,C5,-76.40
304.00,0.00,160.80,H1,-36.94,C5,-76.40
305.00,0.00,160.80,H1,-36.94,C5,-76.40
306.00,0.00,160.80,H1,-36.94,C5,-76.40
307.00,0.00,160.57,H1,-36.86,C5,-76.43
308.00,0.00,158.35,H1,-36.12,C5,-76.71
309.00,0.00,156.13,H1,-35.31,C5,-76.99
