flow,name,tx,rx,pdr_pct,plr_pct,owd_ms,owd_p95_ms,jitter_p95_ms,ip_tput_mbps,goodput_mbps,e2e_ms
1,Comandos,145019,144941,99.9462,0.0537861,3.39858,13.275,2.175,0.609049,0.499732,3.39858
2,Telemetria,18562,18540,99.8815,0.118522,3.17718,11.525,15.975,0.113869,0.0998848,3.17718
3,Video,1064668,1064664,99.9996,0.000375704,1.07528,0.625,0.275,40.7896,40.1537,36.0753
