time_s,event,ap_id,x,y,station_m
0.05,assoc,H0,0.11,0.00,0.11
84.37,deassoc,H0,183.70,3.60,187.30
84.37,assoc,H1,183.70,3.60,187.30
196.56,deassoc,H1,291.26,0.00,291.26
196.56,assoc,H2,291.26,0.00,291.26
213.19,deassoc,H2,318.50,9.67,384.07
213.19,assoc,H3,318.50,9.68,384.08
