flow,name,tx,rx,pdr_pct,plr_pct,owd_ms,owd_p95_ms,jitter_p95_ms,ip_tput_mbps,goodput_mbps,e2e_ms
1,Comandos,145019,144732,99.8021,0.197905,3.28895,6.5,2.25,0.608172,0.499013,3.28895
2,Telemetria,18562,18536,99.8599,0.140071,3.20312,6.5,8.25,0.113845,0.0998638,3.20312
3,Video,1060590,1060587,99.9997,0.000282861,1.06647,0.5,0.25,40.7999,39.9999,36.0665
