flow,name,tx,rx,pdr_pct,plr_pct,owd_ms,owd_p95_ms,jitter_p95_ms,ip_tput_mbps,goodput_mbps,e2e_ms
1,Comandos,145019,145017,99.9986,0.00137913,2.36156,11.375,2.225,0.609368,0.499995,2.36156
2,Telemetria,18562,18498,99.6552,0.34479,2.97244,11.09,15.085,0.113612,0.0996595,2.97244
3,Video,1069157,1069139,99.9983,0.00168357,1.41054,0.625,0.275,40.9607,40.1543,36.4105
