time_s,event,ap_id,x,y,station_m
0.05,assoc,H0,0.17,0.00,0.17
63.92,deassoc,H0,193.67,27.39,212.85
64.07,deassoc,H0,193.85,27.87,213.36
64.07,assoc,H2,193.85,27.88,213.37
202.57,deassoc,H2,322.38,8.32,383.58
202.58,assoc,H3,322.38,8.31,383.57
232.95,deassoc,H3,226.51,0.00,226.51
233.01,assoc,H2,226.34,0.00,226.34
