time_s,event,ap_id,x,y,handover_ms
0.12,assoc,H4,25.72,0.00,0.00
15.05,deassoc,H4,0.00,8.60,0
15.05,assoc,H3,0.00,8.60,0.58
221.35,deassoc,H3,4.02,24.44,0
221.35,assoc,C5,4.02,24.44,0.59
