flow,name,tx,rx,pdr_pct,plr_pct,owd_ms,owd_p95_ms,jitter_p95_ms,ip_tput_mbps,goodput_mbps,e2e_ms
1,Comandos,145019,145016,99.9979,0.00206869,2.63542,12.125,2.225,0.609365,0.499992,2.63542
2,Telemetria,18562,18500,99.666,0.334016,2.99799,11.325,15.275,0.113624,0.0996702,2.99799
3,Video,1069157,1069123,99.9968,0.00318008,1.44469,0.625,0.275,40.9601,40.1537,36.4447
