time_s,event,ap_id,x,y,handover_ms
0.12,assoc,H4,25.72,0.00,0.00
91.88,deassoc,H4,0.00,135.76,0
91.89,assoc,H3,0.00,135.76,0.59
138.68,deassoc,H3,40.73,134.80,0
138.68,assoc,C5,40.73,134.80,0.60
140.43,deassoc,C5,44.60,134.80,0
140.73,deassoc,C5,45.28,134.80,0
140.74,assoc,C4,45.28,134.80,0.60
203.86,deassoc,C4,12.40,0.00,0
204.17,deassoc,C4,11.72,0.00,0
204.17,assoc,H2,11.72,0.00,0.56
