flow_id,flow_name,protocol,tx_pkts,rx_pkts,tx_bytes,rx_bytes,delay_mean_ms,delay_p95_ms,jitter_mean_ms,jitter_p95_ms,pdr_pct,plr_pct,ip_throughput_mbps,payload_goodput_mbps,codec_delay_ms,total_e2e_ms,total_e2e_p95_ms,dst_port
1,Comandos,UDP,145019,145000,22622964,22620000,3.78257,14.5,1.38789,2.75,99.9869,0.0131017,0.609295,0.499934,0,3.78257,14.5,6000
2,Telemetria,UDP,18562,18521,4232136,4222788,2.87643,9.5,2.6572,12.25,99.7791,0.220881,0.113753,0.0997831,0,2.87643,9.5,7000
3,Video,UDP,1060590,1059903,1514522520,1513541484,0.419235,0.5,0.127085,0.25,99.9352,0.0647753,40.7736,39.9741,35,35.4192,35.5,5000
