flow,name,tx,rx,pdr_pct,plr_pct,owd_ms,owd_p95_ms,jitter_p95_ms,ip_tput_mbps,goodput_mbps,e2e_ms
1,Comandos,145019,144787,99.84,0.159979,3.01457,11.825,2.275,0.6084,0.4992,3.01457
2,Telemetria,18562,18544,99.903,0.0969723,4.65353,11.4675,15.975,0.113892,0.0999054,4.65353
3,Video,1074205,1073739,99.9566,0.0433809,1.8741,0.625,0.275,41.1381,40.4959,36.8741
