flow,name,tx,rx,pdr_pct,plr_pct,owd_ms,owd_p95_ms,jitter_p95_ms,ip_tput_mbps,goodput_mbps,e2e_ms
1,Comandos,145019,145017,99.9986,0.00137913,3.25655,14.825,2.975,0.609369,0.499995,3.25655
2,Telemetria,18562,18549,99.93,0.0700356,3.27374,13.175,15.975,0.113924,0.0999336,3.27374
3,Video,1074205,1074190,99.9986,0.00139638,0.352958,0.675,0.325,41.1554,40.3452,35.353
