flow,name,tx,rx,pdr_pct,plr_pct,owd_ms,owd_p95_ms,jitter_p95_ms,ip_tput_mbps,goodput_mbps,e2e_ms
1,Comandos,145019,145018,99.9993,0.000689565,5.98933,26.725,3.225,0.60937,0.499996,5.98933
2,Telemetria,18562,18430,99.2889,0.71113,5.15696,19.625,15.975,0.113192,0.0992909,5.15696
3,Video,1064929,1064799,99.9878,0.0122074,3.35388,1.125,0.325,40.7937,39.9906,38.3539
