flow,name,tx,rx,pdr_pct,plr_pct,owd_ms,owd_p95_ms,jitter_p95_ms,ip_tput_mbps,goodput_mbps,e2e_ms
1,Comandos,145019,144581,99.698,0.302029,3.89654,14.275,2.825,0.607536,0.498491,3.89654
2,Telemetria,18562,18491,99.6175,0.382502,2.86521,11.15,15.675,0.113569,0.0996218,2.86521
3,Video,1071139,1068649,99.7675,0.232463,0.608007,0.675,0.375,40.9448,40.1388,35.608
