flow,name,tx,rx,pdr_pct,plr_pct,owd_ms,owd_p95_ms,jitter_p95_ms,ip_tput_mbps,goodput_mbps,e2e_ms
1,Comandos,145019,144642,99.74,0.259966,4.02591,14.875,2.325,0.607793,0.498702,4.02591
2,Telemetria,18562,18517,99.7576,0.242431,3.48158,13.535,15.975,0.113728,0.0997618,3.48158
3,Video,1065713,1065644,99.9935,0.00647454,1.75106,0.725,0.275,40.8279,40.0241,36.7511
