flow,name,tx,rx,pdr_pct,plr_pct,owd_ms,owd_p95_ms,jitter_p95_ms,ip_tput_mbps,goodput_mbps,e2e_ms
1,Comandos,145019,145016,99.9979,0.00206869,2.86485,10.5,2.75,0.609365,0.499992,2.86485
2,Telemetria,18562,18555,99.9623,0.0377115,2.27769,6.5,9.25,0.113962,0.0999664,2.27769
3,Video,1060590,1060565,99.9976,0.00235718,0.411296,0.5,0.25,40.7991,39.9991,35.4113
