flow_id,flow_name,protocol,tx_pkts,rx_pkts,tx_bytes,rx_bytes,delay_mean_ms,delay_p95_ms,jitter_mean_ms,jitter_p95_ms,pdr_pct,plr_pct,ip_throughput_mbps,payload_goodput_mbps,codec_delay_ms,total_e2e_ms,total_e2e_p95_ms,dst_port
1,Comandos,UDP,145019,144613,22622964,22559628,6.04524,24.5,1.39363,2.25,99.72,0.279963,0.607672,0.498602,0,6.04524,24.5,6000
2,Telemetria,UDP,18562,17617,4232136,4016676,43.7691,381.7,5.53831,15.75,94.909,5.09105,0.1082,0.0949126,0,43.7691,381.7,7000
3,Video,UDP,1060590,989688,1514522520,1413274464,245.526,1949.15,0.148989,0.25,93.3149,6.68515,38.0724,37.3259,35,280.526,1984.15,5000
