flow,name,tx,rx,pdr_pct,plr_pct,owd_ms,owd_p95_ms,jitter_p95_ms,ip_tput_mbps,goodput_mbps,e2e_ms
1,Comandos,145019,144887,99.909,0.0910226,2.82535,11.575,2.225,0.608823,0.499547,2.82535
2,Telemetria,18562,18551,99.9407,0.0592609,2.59675,10.325,13.2025,0.113937,0.0999449,2.59675
3,Video,1067313,1067313,100,0,0.348576,0.625,0.275,40.893,40.2536,35.3486
