flow_id,flow_name,protocol,tx_pkts,rx_pkts,tx_bytes,rx_bytes,delay_mean_ms,delay_p95_ms,jitter_mean_ms,jitter_p95_ms,pdr_pct,plr_pct,ip_throughput_mbps,payload_goodput_mbps,codec_delay_ms,total_e2e_ms,total_e2e_p95_ms,dst_port
1,Comandos,UDP,145019,144142,22622964,22486152,3.68604,15.5,0.749312,2.25,99.3953,0.604748,0.605693,0.496979,0,3.68604,15.5,6000
2,Telemetria,UDP,18562,17319,4232136,3948732,42.634,429.5,3.69664,15.75,93.3035,6.69648,0.106371,0.0933076,0,42.634,429.5,7000
3,Video,UDP,530295,510523,757261260,729026844,117.539,683.5,0.16201,0.25,96.2715,3.72849,19.6394,19.2543,35,152.539,718.5,5000
