flow,name,tx,rx,pdr_pct,plr_pct,owd_ms,owd_p95_ms,jitter_p95_ms,ip_tput_mbps,goodput_mbps,e2e_ms
1,Comandos,145019,145017,99.9986,0.00137913,2.57028,11.975,2.225,0.609368,0.499994,2.57028
2,Telemetria,18562,18543,99.8976,0.10236,2.91232,11.52,15.575,0.113888,0.0999017,2.91232
3,Video,1071139,1071130,99.9992,0.000840227,0.79825,0.625,0.275,41.0399,40.232,35.7983
