flow,name,tx,rx,pdr_pct,plr_pct,owd_ms,owd_p95_ms,jitter_p95_ms,ip_tput_mbps,goodput_mbps,e2e_ms
1,Comandos,145019,145018,99.9993,0.000689565,6.81561,32.275,3.575,0.60937,0.499996,6.81561
2,Telemetria,18562,18547,99.9192,0.0808103,9.11914,33.145,15.975,0.113911,0.0999216,9.11914
3,Video,1341628,1341617,99.9992,0.000819899,0.981118,1.125,0.225,51.4437,50.4317,35.9811
