flow,name,tx,rx,pdr_pct,plr_pct,owd_ms,owd_p95_ms,jitter_p95_ms,ip_tput_mbps,goodput_mbps,e2e_ms
1,Comandos,145019,145018,99.9993,0.000689565,1.05803,3.825,2.025,0.609374,0.499999,1.05803
2,Telemetria,18562,18558,99.9785,0.0215494,1.05406,3.775,4.875,0.113979,0.0999815,1.05406
3,Video,1074205,1074205,100,0,0.175805,0.325,0.225,41.156,40.5135,35.1758
