time_s,event,ap_id,x,y,station_m
0.05,assoc,H0,0.11,0.00,0.11
70.70,deassoc,H0,156.95,0.00,156.95
70.70,assoc,H1,156.95,0.00,156.95
96.62,deassoc,H1,194.23,28.93,214.49
96.62,assoc,H2,194.23,28.93,214.49
214.21,deassoc,H2,323.55,10.82,386.34
214.21,assoc,H3,323.55,10.83,386.35
