flow_id,flow_name,protocol,tx_pkts,rx_pkts,tx_bytes,rx_bytes,delay_mean_ms,delay_p95_ms,jitter_mean_ms,jitter_p95_ms,pdr_pct,plr_pct,ip_throughput_mbps,payload_goodput_mbps,codec_delay_ms,total_e2e_ms,total_e2e_p95_ms,dst_port
1,Comandos,UDP,145019,145017,22622964,22622652,2.52495,9.5,1.24613,2.75,99.9986,0.00137913,0.609369,0.499995,0,2.52495,9.5,6000
2,Telemetria,UDP,18562,18548,4232136,4228944,2.05168,6.5,2.1233,8.25,99.9246,0.0754229,0.113917,0.0999269,0,2.05168,6.5,7000
3,Video,UDP,1060590,1060548,1514522520,1514462544,0.385124,0.5,0.129176,0.25,99.996,0.00396006,40.7984,39.9984,35,35.3851,35.5,5000
