time_s,event,ap_id,x,y,station_m
0.05,assoc,H0,0.11,0.00,0.11
95.25,deassoc,H0,193.20,26.09,211.46
95.26,assoc,H1,193.20,26.09,211.47
210.81,deassoc,H1,320.36,3.98,378.79
210.96,deassoc,H1,320.50,4.29,379.13
210.96,assoc,H3,320.50,4.29,379.13
