time_s,event,ap_id,x,y,station_m
0.05,assoc,H0,0.11,0.00,0.11
97.10,deassoc,H0,183.70,31.86,215.56
97.25,deassoc,H0,183.70,32.20,215.90
97.25,assoc,H2,183.70,32.20,215.90
