time_s,event,ap_id,x,y,station_m
0.05,assoc,H0,0.11,0.00,0.11
95.66,deassoc,H0,183.70,28.67,212.37
95.82,deassoc,H0,183.70,29.01,212.71
95.82,assoc,H2,183.70,29.02,212.72
212.86,deassoc,H2,318.50,8.96,383.36
212.87,assoc,H3,318.50,8.96,383.36
