time_s,event,ap_id,x,y,station_m
0.05,assoc,H0,0.11,0.00,0.11
40.11,deassoc,H0,89.04,0.00,89.04
40.11,assoc,H1,89.04,0.00,89.04
56.94,deassoc,H1,126.41,0.00,126.41
56.94,assoc,H2,126.41,0.00,126.41
216.64,deassoc,H2,318.50,17.35,391.75
216.65,assoc,H3,318.50,17.35,391.75
