time_s,event,ap_id,x,y,station_m
0.05,assoc,H0,0.11,0.00,0.11
95.51,deassoc,H0,193.39,26.62,212.03
95.66,deassoc,H0,193.51,26.94,212.37
95.66,assoc,H2,193.51,26.94,212.37
191.87,deassoc,H2,280.86,0.00,280.86
191.87,assoc,H3,280.86,0.00,280.86
200.19,deassoc,H3,299.31,0.00,299.31
200.24,assoc,H3,299.43,0.00,299.43
