x,y,z,ap_x,ap_y,ap_tipo,dist_euclid,rssi_dbm,n_rayos,pl_min_db,delayspread_ns,refl_dom,cruces_nlos
0,0,1,-0.2,134.9,1,134.900148257887,-43.2276704903633,21,89.0276704903633,43.8393479198308,0,0
0,2,1,-0.2,134.9,1,132.900150489004,-43.0979386416923,20,88.8979386416923,43.8653999706317,0,0
0,4,1,-0.2,134.9,1,130.900152788299,-42.9662398273416,22,88.7662398273416,42.4162786861488,0,0
0,6,1,-0.2,134.9,1,128.900155158945,-42.8325134861971,19,88.6325134861971,42.9845458411474,0,0
0,8,1,-0.2,134.9,1,126.900157604315,-42.6966962166027,17,88.4966962166027,37.6840802000638,0,0
0,10,1,-0.2,134.9,1,124.900160128,-42.5587215959049,16,88.3587215959049,39.4111485360686,0,0
0,12,1,-0.2,134.9,1,122.900162733822,-42.4185199854354,16,88.2185199854354,37.8671516483927,0,0
0,14,1,-0.2,134.9,1,120.900165425859,-42.2760183195009,16,88.0760183195009,38.0085320794241,0,0
0,16,1,-0.2,134.9,1,118.90016820846,-42.1311398767784,18,87.9311398767784,38.7667113695861,0,0
0,18,1,-0.2,134.9,1,116.900171086273,-41.9838040323271,22,87.7838040323271,41.2474033080787,0,0
0,20,1,-0.2,134.9,1,114.900174064272,-41.8339259882093,31,87.6339259882093,39.3118867705246,0,0
0,22,1,-0.2,134.9,1,112.90017714778,-41.6814164804692,27,87.4814164804692,38.4730548221811,0,0
0,24,1,-0.2,134.9,1,110.900180342504,-41.5261814599331,49,87.3261814599331,42.9758826534813,0,0
0,26,1,-0.2,134.9,1,108.900183654574,-41.3681217439757,33,87.1681217439757,43.5352121971424,0,0
0,28,1,-0.2,134.9,1,106.900187090575,-41.2071326360236,27,87.0071326360236,42.9674928749571,0,0
0,30,1,-0.2,134.9,1,104.900190657596,-41.0431035091419,22,86.8431035091419,37.9857436439585,0,0
0,32,1,-0.2,134.9,1,102.900194363276,-40.8759173495577,21,86.6759173495577,42.4869712044646,0,0
0,34,1,-0.2,134.9,1,100.900198215861,-40.7054502554047,20,86.5054502554047,42.6502031354383,0,0
0,36,1,-0.2,134.9,1,98.9002022242624,-40.5315708853119,24,86.3315708853119,47.2854782318445,0,0
0,38,1,-0.2,134.9,1,96.900206398129,-40.3541398506932,24,86.1541398506932,49.2862418357375,0,0
0,40,1,-0.2,134.9,1,94.9002107479219,-40.1730090446944,25,85.9730090446944,50.9296134309292,0,0
0,42,1,-0.2,134.9,1,92.9002152850035,-39.9880208997092,29,85.7880208997092,50.5769906760652,0,0
0,44,1,-0.2,134.9,1,90.9002200217359,-39.7990075641411,33,85.5990075641411,47.5417786314109,0,0
0,46,1,-0.2,134.9,1,88.9002249715939,-39.6057899876376,39,85.4057899876376,44.7203419256837,0,0
0,48,1,-0.2,134.9,1,86.9002301492925,-39.408176902311,58,85.208176902311,42.2912369183993,0,0
0,50,1,-0.2,134.9,1,84.9002355709335,-39.2059636854218,34,85.0059636854218,43.6546565658815,0,0
0,52,1,-0.2,134.9,1,82.9002412541725,-38.9989310865846,27,84.7989310865846,44.6721328292767,0,0
0,54,1,-0.2,134.9,1,80.9002472184109,-38.7868437996577,27,84.5868437996577,44.6551965362423,0,0
0,56,1,-0.2,134.9,1,78.9002534850174,-38.5694488560082,22,84.3694488560081,46.9451365916558,0,0
0,58,1,-0.2,134.9,1,76.9002600775836,-38.3464738116567,21,84.1464738116566,43.8851209021683,0,0
0,60,1,-0.2,134.9,1,74.900267022221,-38.1176246957405,24,83.9176246957405,38.5230206154387,0,0
0,62,1,-0.2,134.9,1,72.9002743479063,-37.8825836815696,29,83.6825836815696,40.943691055648,0,0
0,64,1,-0.2,134.9,1,70.900282086886,-37.6410064340174,38,83.4410064340174,39.5029636354489,0,0
0,66,1,-0.2,134.9,1,68.9002902751505,-37.3925190777355,47,83.1925190777355,38.4860943845121,0,0
0,68,1,-0.2,134.9,1,66.9002989529942,-37.136714719245,51,82.936714719245,38.2154907005474,0,0
0,70,1,-0.2,134.9,1,64.9003081656782,-36.8731494417551,124,82.6731494417551,35.3310459111577,0,0
0,72,1,-0.2,134.9,1,62.9003179642202,-36.6013376737992,62,82.4013376737992,38.5171907091096,0,0
0,74,1,-0.2,134.9,1,60.9003284063395,-36.3207468104436,47,82.1207468104436,40.7793527554894,0,0
0,76,1,-0.2,134.9,1,58.9003395575951,-36.0307909375197,45,81.8307909375197,41.2449352126637,0,0
0,78,1,-0.2,134.9,1,56.9003514927632,-35.7308234732321,47,81.5308234732321,39.1611701205556,0,0
0,80,1,-0.2,134.9,1,54.9003642975163,-35.4201284950704,48,81.2201284950704,39.8789117694392,0,0
0,82,1,-0.2,134.9,1,52.9003780704826,-35.0979104597839,48,80.8979104597839,38.2172715882283,0,0
0,84,1,-0.2,134.9,1,50.9003929257918,-34.7632819454916,39,80.5632819454916,36.3986746968927,0,0
0,86,1,-0.2,134.9,1,48.9004089962446,-34.4152489411449,44,80.2152489411449,38.8361963356449,0,0
0,88,1,-0.2,134.9,1,46.9004264372937,-34.0526930700954,67,79.8526930700954,35.6524567084663,0,0
0,90,1,-0.2,134.9,1,44.900445432089,-33.6743499479201,75,79.4743499479201,35.7576525021729,0,0
0,92,1,-0.2,134.9,1,42.9004661979331,-33.2787826202367,182,79.0787826202367,35.3411591879848,0,0
0,94,1,-0.2,134.9,1,40.9004889946318,-32.8643486749784,132,78.6643486749784,35.1497485734033,0,0
0,96,1,-0.2,134.9,1,38.9005141354199,-32.4291591319571,98,78.2291591319571,34.0119962168695,0,0
0,98,1,-0.2,134.9,1,36.9005420014395,-31.9710265141392,71,77.7710265141392,35.348472825715,0,0
0,100,1,-0.2,134.9,1,34.9005730611977,-31.4873984966889,76,77.2873984966889,35.7519671415013,0,0
0,102,1,-0.2,134.9,1,32.9006078971195,-30.9752720477635,65,76.7752720477635,34.7098535468519,0,0
0,104,1,-0.2,134.9,1,30.9006472424123,-30.4310807535038,65,76.2310807535038,36.3330736228843,0,0
0,106,1,-0.2,134.9,1,28.9006920332369,-29.8505446163625,66,75.6505446163625,37.8074027354726,0,0
0,108,1,-0.2,134.9,1,26.9007434841493,-29.2284662740258,70,75.0284662740258,37.7277313659046,0,0
0,110,1,-0.2,134.9,1,24.900803199897,-28.5584489697892,60,74.3584489697892,38.3016209936192,0,0
0,112,1,-0.2,134.9,1,22.9008733457919,-27.8324972723375,80,73.6324972723375,34.6673719915556,0,0
0,114,1,-0.2,134.9,1,20.9009569158926,-27.0404368490407,114,72.8404368490407,32.2791487451921,0,0
0,116,1,-0.2,134.9,1,18.9010581714358,-26.1690452992976,150,71.9690452992976,31.5822280179185,0,0
0,118,1,-0.2,134.9,1,16.9011833905203,-25.2007027697107,115,71.0007027697107,32.2411015515201,0,0
0,120,1,-0.2,134.9,1,14.9013422214242,-24.1112055843801,104,69.9112055843801,31.7135159900524,0,0
0,122,1,-0.2,134.9,1,12.9015502944414,-22.8660348273626,93,68.6660348273626,30.67903821259,0,0
0,124,1,-0.2,134.9,1,10.9018347079746,-21.4135636923005,78,67.2135636923005,27.3454429775053,0,0
