x,y,z,ap_x,ap_y,ap_tipo,dist_euclid,rssi_dbm,n_rayos,pl_min_db,delayspread_ns,refl_dom,cruces_nlos
0,0,1,-0.2,134.9,1,134.900148257887,-43.2276704903633,21,89.0276704903633,43.8393479198308,0,0
0,5,1,-0.2,134.9,1,129.900153964497,-42.8996339916,19,88.6996339916,42.8869130407234,0,0
0,10,1,-0.2,134.9,1,124.900160128,-42.5587215959049,16,88.3587215959049,39.4111485360686,0,0
0,15,1,-0.2,134.9,1,119.900166805555,-42.2038811397588,17,88.0038811397588,37.9808116293287,0,0
0,20,1,-0.2,134.9,1,114.900174064272,-41.8339259882093,31,87.6339259882093,39.3118867705246,0,0
0,25,1,-0.2,134.9,1,109.900181983471,-41.4475110984898,41,87.2475110984898,42.1645943739925,0,0
0,30,1,-0.2,134.9,1,104.900190657596,-41.0431035091419,22,86.8431035091419,37.9857436439585,0,0
0,35,1,-0.2,134.9,1,99.9002001999996,-40.6189456204947,22,86.4189456204947,48.3693064954123,0,0
0,40,1,-0.2,134.9,1,94.9002107479219,-40.1730090446944,25,85.9730090446944,50.9296134309292,0,0
0,45,1,-0.2,134.9,1,89.9002224691352,-39.7029359611902,34,85.5029359611902,44.1832353319015,0,0
0,50,1,-0.2,134.9,1,84.9002355709335,-39.2059636854218,34,85.0059636854218,43.6546565658815,0,0
0,55,1,-0.2,134.9,1,79.900250312499,-38.6788263334299,21,84.4788263334299,45.5209071161815,0,0
0,60,1,-0.2,134.9,1,74.900267022221,-38.1176246957405,24,83.9176246957405,38.5230206154387,0,0
0,65,1,-0.2,134.9,1,69.9002861224473,-37.5176511323068,43,83.3176511323068,39.2655405094411,0,0
0,70,1,-0.2,134.9,1,64.9003081656782,-36.8731494417551,124,82.6731494417551,35.3310459111577,0,0
0,75,1,-0.2,134.9,1,59.9003338888858,-36.1769783950647,44,81.9769783950647,41.736080127298,0,0
0,80,1,-0.2,134.9,1,54.9003642975163,-35.4201284950704,48,81.2201284950704,39.8789117694392,0,0
0,85,1,-0.2,134.9,1,49.9004007999936,-34.5910077558121,37,80.3910077558121,36.3095656784095,0,0
0,90,1,-0.2,134.9,1,44.900445432089,-33.6743499479201,75,79.4743499479201,35.7576525021729,0,0
0,95,1,-0.2,134.9,1,39.9005012499843,-32.6494773778726,116,78.4494773778726,33.903992788454,0,0
0,100,1,-0.2,134.9,1,34.9005730611977,-31.4873984966889,76,77.2873984966889,35.7519671415013,0,0
0,105,1,-0.2,134.9,1,29.9006688888393,-30.1456562776015,62,75.9456562776015,37.953919049891,0,0
0,110,1,-0.2,134.9,1,24.900803199897,-28.5584489697892,60,74.3584489697892,38.3016209936192,0,0
0,115,1,-0.2,134.9,1,19.9010049997481,-26.615635312174,195,72.415635312174,31.49507888479,0,0
0,120,1,-0.2,134.9,1,14.9013422214242,-24.1112055843801,104,69.9112055843801,31.7135159900524,0,0
0,125,1,-0.2,134.9,1,9.90201999594023,-20.5857281073494,73,66.3857281073494,25.2367748689273,0,0
0,130,1,-0.2,134.9,1,4.9040799340957,-14.6152606106364,58,60.4152606106364,15.4897645624012,0,0
0,135,1,-0.2,134.9,1,0.223606797749976,-0.83907629930313,16,46.6390762993031,2.69299422820293,0,0
0,0,1,-0.1,88.6,1,88.6000564333906,-39.5764164870402,46,85.3764164870402,74.13001817938,0,0
0,5,1,-0.1,88.6,1,83.600059808591,-39.0719364267724,41,84.8719364267724,65.5190840750438,0,0
0,10,1,-0.1,88.6,1,78.6000636132058,-38.53634417503,31,84.33634417503,66.6661272372478,0,0
0,15,1,-0.1,88.6,1,73.6000679347513,-37.9655492681952,37,83.7655492681952,66.7415922453341,0,0
0,20,1,-0.1,88.6,1,68.6000728862586,-37.3545976118822,56,83.1545976118822,58.7478723442658,0,0
0,25,1,-0.1,88.6,1,63.6000786163036,-36.6974098910664,103,82.4974098910664,53.666117055713,0,0
0,30,1,-0.1,88.6,1,58.60008532417,-35.9864127927447,47,81.7864127927447,56.7407521902612,0,0
0,35,1,-0.1,88.6,1,53.6000932835009,-35.212005612896,50,81.012005612896,57.0584557792634,0,0
0,40,1,-0.1,88.6,1,48.6001028805495,-34.361765387741,40,80.161765387741,58.6810643437711,0,0
0,45,1,-0.1,88.6,1,43.6001146787483,-33.4192199333705,63,79.2192199333705,51.6555441623104,0,0
