flow_id,flow_name,protocol,tx_pkts,rx_pkts,tx_bytes,rx_bytes,delay_mean_ms,delay_p95_ms,jitter_mean_ms,jitter_p95_ms,pdr_pct,plr_pct,ip_throughput_mbps,payload_goodput_mbps,codec_delay_ms,total_e2e_ms,total_e2e_p95_ms,dst_port
1,Comandos,UDP,145019,144949,22622964,22612044,3.25681,9.5,1.08313,2.25,99.9517,0.0482695,0.609082,0.49976,0,3.25681,9.5,6000
2,Telemetria,UDP,18562,18546,4232136,4228488,2.56412,7.5,2.20727,10.25,99.9138,0.0861976,0.113907,0.0999181,0,2.56412,7.5,7000
3,Video,UDP,1060590,1060549,1514522520,1514463972,0.385508,0.5,0.0936401,0.25,99.9961,0.00386577,40.7984,39.9985,35,35.3855,35.5,5000
