flow_id,flow_name,protocol,tx_pkts,rx_pkts,tx_bytes,rx_bytes,delay_mean_ms,delay_p95_ms,jitter_mean_ms,jitter_p95_ms,pdr_pct,plr_pct,ip_throughput_mbps,payload_goodput_mbps,codec_delay_ms,total_e2e_ms,total_e2e_p95_ms,dst_port
1,Comandos,UDP,145019,145011,22622964,22621716,4.51298,17.5,1.22575,2.25,99.9945,0.00551652,0.609342,0.499973,0,4.51298,17.5,6000
2,Telemetria,UDP,18562,18529,4232136,4224612,5.14531,17.5,3.31998,15.75,99.8222,0.177783,0.113802,0.0998265,0,5.14531,17.5,7000
3,Video,UDP,1060590,1060590,1514522520,1514522520,0.387808,0.5,0.0827004,0.25,100,0,40.8,40,35,35.3878,35.5,5000
