flow_id,flow_name,protocol,tx_pkts,rx_pkts,tx_bytes,rx_bytes,delay_mean_ms,delay_p95_ms,jitter_mean_ms,jitter_p95_ms,pdr_pct,plr_pct,ip_throughput_mbps,payload_goodput_mbps,codec_delay_ms,total_e2e_ms,total_e2e_p95_ms,dst_port
1,Comandos,UDP,145019,145017,22622964,22622652,1.15017,3.5,0.846885,2.25,99.9986,0.00137913,0.609368,0.499994,0,1.15017,3.5,6000
2,Telemetria,UDP,18562,18560,4232136,4231680,1.08523,3.5,1.24919,4.25,99.9892,0.0107747,0.113993,0.0999935,0,1.08523,3.5,7000
3,Video,UDP,1060590,1060578,1514522520,1514505384,0.200187,0.5,0.0824229,0.25,99.9989,0.00113145,40.7995,39.9996,35,35.2002,35.5,5000
