flow_id,flow_name,protocol,tx_pkts,rx_pkts,tx_bytes,rx_bytes,delay_mean_ms,delay_p95_ms,jitter_mean_ms,jitter_p95_ms,pdr_pct,plr_pct,throughput_mbps,codec_delay_ms,total_e2e_ms,total_e2e_p95_ms,dst_port
1,Comandos,TCP,122361,121464,23051080,22887548,13.0209,75.5,0.675682,2.25,99.2669,0.733077,0.65324,0,13.0209,75.5,6000
2,Cmd_ACK,TCP,61925,61675,3241824,3228808,16.5667,156.5,0.315903,0.75,99.5963,0.403714,0.0921571,0,16.5667,156.5,49153
3,Video,UDP,999875,971378,1427821500,1387127784,70.3468,589.5,0.146101,0.25,97.1499,2.85006,39.5959,35,105.347,624.5,5000
4,Telemetria,UDP,1749,1736,398772,395808,25.7599,161.75,3.12374,15.75,99.2567,0.743282,0.0113397,0,25.7599,161.75,7000
