flow_id,flow_name,protocol,tx_pkts,rx_pkts,tx_bytes,rx_bytes,delay_mean_ms,delay_p95_ms,jitter_mean_ms,jitter_p95_ms,pdr_pct,plr_pct,throughput_mbps,codec_delay_ms,total_e2e_ms,total_e2e_p95_ms,dst_port
1,Comandos,UDP,145019,145018,22622964,22622808,2.33277,8.5,1.14981,2.25,99.9993,0.000689565,0.609371,0,2.33277,8.5,6000
2,Video,UDP,1060590,1060561,1514522520,1514481108,0.454808,0.5,0.0851744,0.25,99.9973,0.00273433,40.7989,35,35.4548,35.5,5000
3,Telemetria,UDP,1856,1856,423168,423168,2.30921,8.5,2.68618,10.75,100,0,0.0114338,0,2.30921,8.5,7000
