flow_id,flow_name,protocol,tx_pkts,rx_pkts,tx_bytes,rx_bytes,delay_mean_ms,delay_p95_ms,jitter_mean_ms,jitter_p95_ms,pdr_pct,plr_pct,throughput_mbps,payload_goodput_mbps,codec_delay_ms,total_e2e_ms,total_e2e_p95_ms,dst_port
1,Comandos,UDP,145019,145019,22622964,22622964,0.195707,0.5,0.212595,0.75,100,0,0.609378,0.390627,0,0.195707,0.5,6000
2,Video,UDP,530295,530288,757261260,757251264,0.170668,0.5,0.0431508,0.25,99.9987,0.00132002,20.3998,19.5998,35,35.1707,35.5,5000
3,Telemetria,UDP,1856,1856,423168,423168,0.240982,0.5,0.259691,0.75,100,0,0.0114338,0.00862547,0,0.240982,0.5,7000
