flow_id,flow_name,protocol,tx_pkts,rx_pkts,tx_bytes,rx_bytes,delay_mean_ms,delay_p95_ms,jitter_mean_ms,jitter_p95_ms,pdr_pct,plr_pct,throughput_mbps,payload_goodput_mbps,codec_delay_ms,total_e2e_ms,total_e2e_p95_ms,dst_port
1,Comandos,UDP,145019,145018,22622964,22622808,3.0372,11.5,1.42993,2.75,99.9993,0.000689565,0.60937,0.390622,0,3.0372,11.5,6000
2,Video,UDP,1060590,1060545,1514522520,1514458260,0.421961,0.5,0.110497,0.25,99.9958,0.00424292,40.7982,39.1983,35,35.422,35.5,5000
3,Telemetria,UDP,1856,1856,423168,423168,2.09696,8.5,2.57489,10.25,100,0,0.0114337,0.00862542,0,2.09696,8.5,7000
