flow_id,flow_name,protocol,tx_pkts,rx_pkts,tx_bytes,rx_bytes,delay_mean_ms,delay_p95_ms,jitter_mean_ms,jitter_p95_ms,pdr_pct,plr_pct,throughput_mbps,codec_delay_ms,total_e2e_ms,total_e2e_p95_ms,dst_port
1,Comandos,UDP,145019,144533,22622964,22547148,1.70136,5.5,0.999781,2.25,99.6649,0.335129,0.607334,0,1.70136,5.5,6000
2,Video,UDP,1060590,1060575,1514522520,1514501100,0.258781,0.5,0.075021,0.25,99.9986,0.00141431,40.7994,35,35.2588,35.5,5000
3,Telemetria,UDP,1856,1856,423168,423168,1.93986,5.5,1.97823,7.25,100,0,0.0114338,0,1.93986,5.5,7000
