flow_id,flow_name,protocol,tx_pkts,rx_pkts,tx_bytes,rx_bytes,delay_mean_ms,delay_p95_ms,jitter_mean_ms,jitter_p95_ms,pdr_pct,plr_pct,throughput_mbps,codec_delay_ms,total_e2e_ms,total_e2e_p95_ms,dst_port
1,Comandos,UDP,145019,131822,22622964,20564232,41.7665,240.5,2.55557,2.75,90.8998,9.10019,0.553885,0,41.7665,240.5,6000
2,Video,UDP,1060590,911070,1514522520,1301007960,346.694,1236.5,0.224726,0.25,85.9022,14.0978,34.8976,35,381.694,1271.5,5000
3,Telemetria,UDP,1856,1719,423168,391932,25.3587,125.6,14.551,49.475,92.6185,7.38147,0.0105877,0,25.3587,125.6,7000
