flow_id,flow_name,protocol,tx_pkts,rx_pkts,tx_bytes,rx_bytes,delay_mean_ms,delay_p95_ms,jitter_mean_ms,jitter_p95_ms,pdr_pct,plr_pct,throughput_mbps,payload_goodput_mbps,codec_delay_ms,total_e2e_ms,total_e2e_p95_ms,dst_port
1,Comandos,UDP,145019,145019,22622964,22622964,2.54874,8.5,1.17913,2.25,100,0,0.609376,0.390626,0,2.54874,8.5,6000
2,Video,UDP,1060590,1060569,1514522520,1514492532,0.257321,0.5,0.088277,0.25,99.998,0.00198003,40.7992,39.1992,35,35.2573,35.5,5000
3,Telemetria,UDP,1856,1856,423168,423168,2.18519,7.5,2.45983,9.75,100,0,0.0114337,0.00862543,0,2.18519,7.5,7000
