flow_id,flow_name,protocol,tx_pkts,rx_pkts,tx_bytes,rx_bytes,delay_mean_ms,delay_p95_ms,jitter_mean_ms,jitter_p95_ms,pdr_pct,plr_pct,throughput_mbps,codec_delay_ms,total_e2e_ms,total_e2e_p95_ms,dst_port
1,Comandos,TCP,114954,114527,21907420,21810872,9.14546,25.5,0.565412,2.25,99.6285,0.371453,0.623167,0,9.14546,25.5,6000
2,Cmd_ACK,TCP,58043,57995,3032064,3029528,14.5389,144.5,0.385104,0.75,99.9173,0.0826973,0.0865604,0,14.5389,144.5,49153
3,Video,UDP,999875,958858,1427821500,1369249224,87.132,625.5,0.15384,0.25,95.8978,4.10221,39.1263,35,122.132,660.5,5000
4,Telemetria,UDP,1749,1723,398772,392844,34.713,181.5,4.08088,16.725,98.5134,1.48656,0.0112615,0,34.713,181.5,7000
