flow_id,flow_name,protocol,tx_pkts,rx_pkts,tx_bytes,rx_bytes,delay_mean_ms,delay_p95_ms,jitter_mean_ms,jitter_p95_ms,pdr_pct,plr_pct,throughput_mbps,payload_goodput_mbps,codec_delay_ms,total_e2e_ms,total_e2e_p95_ms,dst_port
1,Comandos,UDP,145019,145019,22622964,22622964,2.95295,11.5,1.28305,2.25,100,0,0.609378,0.390627,0,2.95295,11.5,6000
2,Video,UDP,1060590,1060373,1514522520,1514212644,1.21062,0.5,0.0919541,0.25,99.9795,0.0204603,40.7916,39.192,35,36.2106,35.5,5000
3,Telemetria,UDP,1856,1856,423168,423168,5.31444,10.5,3.77971,13.4,100,0,0.0114337,0.00862546,0,5.31444,10.5,7000
