flow_id,flow_name,protocol,tx_pkts,rx_pkts,tx_bytes,rx_bytes,delay_mean_ms,delay_p95_ms,jitter_mean_ms,jitter_p95_ms,pdr_pct,plr_pct,throughput_mbps,payload_goodput_mbps,codec_delay_ms,total_e2e_ms,total_e2e_p95_ms,dst_port
1,Comandos,UDP,145019,145017,22622964,22622652,2.08884,7.5,1.16987,2.25,99.9986,0.00137913,0.609368,0.39062,0,2.08884,7.5,6000
2,Video,UDP,1060590,1060559,1514522520,1514478252,0.277443,0.5,0.0881875,0.25,99.9971,0.0029229,40.7988,39.1989,35,35.2774,35.5,5000
3,Telemetria,UDP,1856,1856,423168,423168,2.29821,8.5,2.63854,10.25,100,0,0.0114337,0.00862546,0,2.29821,8.5,7000
