flow_id,flow_name,protocol,tx_pkts,rx_pkts,tx_bytes,rx_bytes,delay_mean_ms,delay_p95_ms,jitter_mean_ms,jitter_p95_ms,pdr_pct,plr_pct,throughput_mbps,codec_delay_ms,total_e2e_ms,total_e2e_p95_ms,dst_port
1,Comandos,TCP,136628,136473,24623636,24595736,4.69772,31.5,0.736895,2.25,99.8866,0.113447,0.702734,0,4.69772,31.5,6000
2,Cmd_ACK,TCP,68279,68279,3551168,3551168,2.67288,13.5,0.488868,2.25,100,0,0.101465,0,2.67288,13.5,49153
3,Video,UDP,499938,499938,713911464,713911464,2.7771,15.5,0.210141,0.25,100,0,20.4,35,37.7771,50.5,5000
4,Telemetria,UDP,1749,1749,398772,398772,2.54717,14.5,1.98758,11.575,100,0,0.0114314,0,2.54717,14.5,7000
