flow_id,flow_name,protocol,tx_pkts,rx_pkts,tx_bytes,rx_bytes,delay_mean_ms,delay_p95_ms,jitter_mean_ms,jitter_p95_ms,pdr_pct,plr_pct,throughput_mbps,codec_delay_ms,total_e2e_ms,total_e2e_p95_ms,dst_port
1,Comandos,UDP,145019,145017,22622964,22622652,2.96113,11.5,1.40827,2.75,99.9986,0.00137913,0.609368,0,2.96113,11.5,6000
2,Video,UDP,1060590,1060549,1514522520,1514463972,0.315237,0.5,0.103409,0.25,99.9961,0.00386577,40.7984,35,35.3152,35.5,5000
3,Telemetria,UDP,1856,1856,423168,423168,2.13115,7.5,2.41985,9.25,100,0,0.0114337,0,2.13115,7.5,7000
