time_s,event,ap_id,x,y,station_m
0.05,assoc,H0,0.11,0.00,0.11
92.55,deassoc,H0,183.70,21.76,205.46
92.55,assoc,H1,183.70,21.76,205.46
213.41,deassoc,H1,318.50,10.16,384.56
213.71,deassoc,H1,318.50,10.84,385.24
213.71,assoc,H3,318.50,10.84,385.24
