time_s,event,ap_id,x,y,station_m
0.05,assoc,H0,0.11,0.00,0.11
98.58,deassoc,H0,183.70,35.15,218.85
98.68,deassoc,H0,183.70,35.37,219.07
98.68,assoc,H2,183.70,35.37,219.07
