time_s,event,ap_id,x,y,station_m
0.05,assoc,H0,0.11,0.00,0.11
40.28,deassoc,H0,89.41,0.00,89.41
40.28,assoc,H1,89.41,0.00,89.41
210.75,deassoc,H1,318.50,4.26,378.66
211.06,deassoc,H1,318.50,4.94,379.34
211.06,assoc,H3,318.50,4.95,379.35
