time_s,event,ap_id,x,y,station_m
0.05,assoc,H0,0.11,0.00,0.11
97.32,deassoc,H0,183.70,32.36,216.06
97.63,deassoc,H0,183.70,33.04,216.74
97.63,assoc,H2,183.70,33.04,216.74
