35.00,4.00,8.74,28.49,0.00,20.99,0.00,0.00,25.90,0.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
36.00,4.00,7.05,27.05,0.00,20.99,0.00,0.00,25.90,0.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
37.00,4.00,5.37,25.60,0.00,20.99,0.00,0.00,25.90,0.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
38.00,4.00,3.68,24.15,0.00,20.99,0.00,0.00,25.90,0.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
39.00,4.00,2.00,22.71,0.00,20.99,0.00,0.00,25.90,0.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
40.00,4.00,0.32,21.26,0.00,20.99,0.00,0.00,25.90,0.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
41.00,4.00,0.00,22.79,0.00,0.00,25.90,0.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
42.00,4.00,0.00,25.01,0.00,0.00,25.90,0.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
43.00,4.00,0.00,27.23,0.00,0.00,25.90,0.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
44.00,4.00,0.00,29.45,0.00,0.00,25.90,0.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
45.00,4.00,0.00,31.67,0.00,0.00,25.90,0.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
46.00,4.00,0.00,33.89,0.00,0.00,25.90,0.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
47.00,4.00,0.00,36.11,0.00,0.00,25.90,0.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
48.00,4.00,0.00,38.33,0.00,0.00,25.90,0.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
49.00,4.00,0.00,40.55,0.00,0.00,25.90,0.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
50.00,4.00,0.00,42.77,0.00,0.00,25.90,0.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
51.00,4.00,0.00,44.99,0.00,0.00,25.90,0.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
52.00,4.00,0.00,47.21,0.00,0.00,25.90,0.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
53.00,4.00,0.00,49.43,0.00,0.00,25.90,0.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
54.00,4.00,0.00,51.65,0.00,0.00,25.90,0.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
55.00,4.00,0.00,53.87,0.00,0.00,25.90,0.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
56.00,4.00,0.00,56.09,0.00,0.00,25.90,0.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
57.00,4.00,0.00,58.31,0.00,0.00,25.90,0.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
