8,0.6,1,1,1
11,0,1,1,1
14,0.025,1,1,1
17,0,1,1,1
20,0,0.9,1,1
23,0,0.775,1,1
26,0,0.45,1,1
29,0,0.1,0.95,1
32,0,0.075,0.775,0.8
35,0,0.025,0.35,0.7
38,0,0,0.125,0.275
