-60.4,-55.1,-52.2,-42.3,-56.3,-57.7,-47.8,-72.7,-68.6,-58.5,-59.5,-71.6
-60.2,-54.8,-51.9,-41.5,-56.6,-57.2,-47.1,-72.5,-68.4,-58.0,-59.9,-71.8
-60.0,-54.5,-51.5,-40.8,-56.9,-56.6,-46.4,-72.3,-68.1,-57.5,-60.4,-72.0
-59.7,-54.2,-51.1,-40.2,-57.2,-56.1,-45.5,-72.1,-67.9,-57.0,-60.8,-72.2
-59.5,-53.9,-50.7,-39.7,-57.4,-55.5,-44.6,-71.9,-67.6,-56.4,-61.2,-72.4
-59.3,-53.5,-50.3,-39.2,-57.7,-54.8,-43.5,-71.7,-67.4,-55.9,-61.6,-72.6
-59.1,-53.2,-49.8,-38.6,-57.9,-54.2,-42.3,-71.5,-67.1,-55.3,-62.0,-72.8
-58.8,-52.8,-49.4,-38.0,-58.2,-53.5,-40.9,-71.3,-66.8,-54.6,-62.4,-73.0
-58.6,-52.5,-49.0,-37.4,-58.4,-52.9,-39.3,-71.1,-66.5,-54.0,-62.7,-73.2
-58.2,-52.5,-49.0,-37.5,-58.8,-52.9,-39.4,-71.1,-66.6,-54.1,-63.3,-73.5
-58.0,-52.9,-49.4,-38.1,-59.0,-53.6,-41.1,-71.3,-66.8,-54.7,-63.7,-73.6
-57.7,-53.2,-49.9,-38.7,-59.3,-54.3,-42.5,-71.5,-67.1,-55.3,-64.0,-73.6
-57.5,-53.6,-50.3,-39.2,-59.5,-54.9,-43.6,-71.3,-67.4,-55.9,-64.3,-73.5
-57.2,-53.9,-50.7,-39.7,-59.7,-55.5,-44.6,-71.1,-67.6,-56.5,-64.6,-73.3
-56.9,-54.2,-51.1,-40.2,-59.9,-56.1,-45.5,-70.9,-67.9,-57.0,-65.0,-73.1
-56.7,-54.5,-51.5,-40.8,-60.1,-56.6,-46.4,-70.6,-68.1,-57.5,-65.3,-72.9
-56.4,-54.8,-51.9,-41.5,-60.3,-57.2,-47.1,-70.4,-68.4,-58.0,-65.6,-72.7
-56.1,-55.1,-52.2,-42.3,-60.5,-57.7,-47.8,-70.2,-68.7,-58.5,-65.9,-72.5
-55.9,-55.3,-52.5,-42.8,-60.7,-58.1,-41.7,-70.0,-68.8,-58.9,-66.1,-72.4
-56.1,-55.6,-52.8,-43.3,-60.9,-58.5,-42.7,-70.2,-69.0,-59.3,-66.3,-72.6
-56.4,-55.9,-53.1,-44.0,-61.1,-59.0,-43.9,-70.4,-69.3,-59.7,-66.6,-72.7
-56.7,-56.1,-53.5,-44.6,-61.3,-59.4,-44.9,-70.6,-69.5,-60.2,-66.9,-72.9
-57.0,-56.4,-53.8,-45.2,-61.5,-59.9,-45.8,-70.9,-69.7,-60.6,-67.2,-73.1
-57.2,-56.7,-54.1,-45.8,-61.7,-60.3,-46.6,-71.1,-70.0,-61.0,-67.4,-73.3
-57.5,-57.0,-54.5,-46.4,-61.9,-60.7,-47.3,-71.3,-70.2,-61.4,-67.7,-73.5
-57.6,-57.1,-54.6,-46.6,-61.9,-60.9,-47.7,-71.4,-70.3,-61.6,-67.8,-73.6
-57.6,-57.1,-54.6,-46.6,-61.9,-60.9,-47.7,-71.4,-70.3,-61.6,-67.8,-73.6
-57.6,-57.1,-54.6,-46.6,-61.9,-60.9,-47.7,-71.4,-70.3,-61.6,-67.8,-73.6
-57.6,-57.1,-54.6,-46.6,-61.9,-60.9,-47.7,-71.4,-70.3,-61.6,-67.8,-73.6
-57.6,-57.1,-54.6,-46.6,-61.9,-60.9,-47.7,-71.4,-70.3,-61.6,-67.8,-73.6
-57.6,-57.1,-54.6,-46.6,-61.9,-60.9,-47.7,-71.4,-70.3,-61.6,-67.8,-73.6
-57.6,-57.1,-54.6,-46.6,-61.9,-60.9,-47.6,-71.4,-70.3,-61.6,-67.8,-73.6
-57.3,-56.8,-54.3,-46.1,-61.7,-60.5,-46.9,-71.2,-70.0,-61.2,-67.5,-73.4
-57.1,-56.5,-53.9,-45.5,-61.5,-60.1,-46.1,-71.0,-69.8,-60.8,-67.3,-73.2
-56.8,-56.3,-53.6,-44.9,-61.4,-59.6,-45.3,-70.7,-69.6,-60.3,-67.0,-73.0
-56.5,-56.0,-53.3,-44.3,-61.2,-59.1,-44.3,-70.5,-69.4,-59.9,-66.7,-72.8
-56.3,-55.7,-52.9,-43.6,-60.9,-58.7,-43.2,-70.3,-69.1,-59.5,-66.4,-72.6
-56.0,-55.4,-52.6,-42.9,-60.7,-58.2,-41.9,-70.1,-68.9,-59.0,-66.1,-72.4
-55.7,-55.6,-52.8,-43.4,-60.9,-58.5,-48.8,-69.9,-69.0,-59.3,-66.3,-72.3
-55.4,-55.9,-53.1,-44.0,-61.1,-59.0,-49.4,-69.6,-69.3,-59.7,-66.6,-72.1
-55.1,-56.2,-53.5,-44.7,-61.3,-59.4,-49.9,-69.4,-69.5,-60.2,-66.9,-71.9
-54.8,-56.4,-53.8,-45.3,-61.5,-59.9,-50.4,-69.2,-69.7,-60.6,-67.2,-71.7
-54.5,-56.7,-54.1,-45.8,-61.7,-60.3,-50.9,-68.9,-70.0,-61.0,-67.4,-71.5
-54.1,-57.0,-54.5,-46.4,-61.9,-60.8,-51.6,-68.7,-70.2,-61.4,-67.7,-71.3
-53.8,-57.3,-54.8,-46.9,-62.1,-61.2,-52.4,-68.4,-70.4,-61.8,-68.0,-71.0
-53.5,-57.5,-55.1,-47.5,-62.2,-61.6,-53.1,-68.2,-70.6,-62.2,-68.2,-70.8
-53.1,-57.8,-55.4,-48.0,-62.4,-62.0,-53.8,-67.9,-70.8,-62.6,-68.5,-70.6
-52.8,-58.0,-55.7,-48.4,-62.6,-62.4,-54.5,-67.6,-71.1,-63.0,-68.7,-70.4
-52.4,-58.3,-56.0,-48.9,-62.8,-62.7,-55.1,-67.4,-71.3,-63.3,-69.0,-70.2
-52.1,-58.3,-56.3,-49.4,-63.0,-63.1,-55.7,-67.1,-71.5,-63.7,-69.2,-70.0
-51.7,-58.1,-56.5,-49.8,-63.2,-63.5,-56.3,-66.8,-71.3,-64.0,-69.4,-69.7
-51.3,-57.8,-56.8,-50.2,-63.1,-63.8,-56.9,-66.5,-71.1,-64.4,-69.7,-69.5
-50.9,-57.5,-57.1,-50.7,-62.9,-64.1,-57.4,-66.3,-70.9,-64.7,-69.9,-69.3
-50.5,-57.3,-57.3,-51.1,-62.7,-64.5,-57.9,-66.0,-70.7,-65.0,-70.1,-69.0
-50.1,-57.0,-57.6,-51.5,-62.6,-64.8,-58.4,-65.7,-70.5,-65.3,-70.4,-68.8
-49.6,-56.8,-57.9,-51.8,-62.4,-65.1,-58.9,-65.4,-70.3,-65.6,-70.6,-68.5
-49.2,-56.5,-58.1,-52.2,-62.2,-65.4,-59.4,-65.0,-70.1,-65.9,-70.8,-68.3
-48.7,-56.2,-58.4,-52.6,-62.0,-65.7,-59.8,-64.7,-69.8,-66.2,-71.0,-68.0
-48.2,-55.9,-58.6,-52.9,-61.8,-66.0,-60.3,-64.4,-69.6,-66.5,-71.2,-67.8
-47.7,-55.6,-58.8,-53.3,-61.6,-66.3,-60.7,-64.1,-69.4,-66.8,-71.4,-67.5
-47.2,-55.3,-59.1,-53.6,-61.4,-66.6,-61.1,-63.7,-69.1,-67.1,-71.6,-67.2
-46.7,-55.0,-59.3,-54.0,-61.2,-66.9,-61.5,-63.4,-68.9,-67.3,-71.8,-66.9
-46.2,-54.7,-59.5,-54.3,-61.0,-67.2,-61.9,-63.0,-68.6,-67.6,-72.0,-66.7
-45.6,-54.4,-59.7,-54.6,-60.8,-67.4,-62.3,-62.7,-68.4,-67.9,-72.2,-66.4
-45.0,-54.1,-60.0,-54.9,-60.6,-67.7,-62.7,-62.3,-68.1,-68.1,-72.4,-66.1
-44.4,-53.7,-60.2,-55.2,-60.4,-68.0,-63.1,-61.9,-67.9,-68.4,-72.6,-65.8
-43.7,-53.4,-60.4,-55.5,-60.2,-68.2,-63.4,-61.5,-67.6,-68.6,-72.8,-65.5
-43.1,-53.1,-60.6,-55.8,-60.0,-68.5,-63.8,-61.1,-67.3,-68.9,-73.0,-65.2
-42.4,-52.7,-60.8,-56.1,-59.7,-68.7,-64.1,-60.7,-67.1,-69.1,-73.2,-64.9
-41.6,-52.4,-61.0,-56.4,-59.5,-68.8,-64.4,-60.2,-66.8,-69.4,-73.3,-64.5
-40.9,-52.0,-60.8,-56.6,-59.3,-68.6,-64.8,-59.8,-66.5,-69.6,-73.5,-64.2
-40.2,-51.6,-60.6,-56.9,-59.1,-68.3,-65.1,-59.3,-66.2,-69.8,-73.7,-63.9
-39.7,-51.2,-60.4,-57.2,-58.8,-68.1,-65.4,-58.9,-65.9,-70.1,-73.6,-63.5
-39.2,-50.8,-60.2,-57.4,-58.6,-67.8,-65.7,-58.4,-65.6,-70.3,-73.4,-63.2
-38.7,-50.4,-59.9,-57.7,-58.4,-67.6,-66.0,-57.9,-65.3,-70.5,-73.2,-62.8
-38.1,-50.0,-59.7,-58.0,-58.1,-67.3,-66.3,-57.3,-65.0,-70.7,-73.0,-62.4
-37.4,-49.5,-59.5,-58.2,-57.9,-67.0,-66.6,-56.8,-64.7,-70.9,-72.8,-62.1
-36.8,-49.1,-59.3,-58.5,-57.6,-66.7,-66.9,-56.2,-64.4,-71.1,-72.7,-61.7
-36.0,-48.6,-59.0,-58.7,-57.3,-66.5,-67.1,-55.7,-64.0,-71.3,-72.5,-61.3
-35.2,-48.1,-58.8,-58.9,-57.1,-66.2,-67.4,-55.1,-63.7,-71.5,-72.3,-60.8
-34.3,-47.6,-58.6,-59.2,-56.8,-65.9,-67.7,-54.4,-63.3,-71.4,-72.1,-60.4
-33.2,-47.1,-58.3,-59.4,-56.5,-65.6,-67.9,-53.8,-63.0,-71.1,-71.9,-60.0
-32.0,-46.6,-58.1,-59.6,-56.3,-65.3,-68.2,-53.1,-62.6,-70.9,-71.7,-59.5
-30.7,-46.1,-57.8,-59.8,-56.0,-65.0,-68.4,-52.3,-62.2,-70.7,-71.5,-59.1
-29.0,-45.5,-57.6,-60.1,-55.7,-64.6,-68.7,-51.6,-61.8,-70.5,-71.3,-58.6
-26.9,-44.9,-57.3,-60.3,-55.4,-64.3,-68.9,-50.8,-61.4,-70.3,-71.1,-58.1
-24.2,-44.3,-57.0,-60.5,-55.1,-64.0,-68.6,-50.4,-61.0,-70.1,-70.8,-57.6
-19.9,-43.6,-56.8,-60.7,-54.8,-63.6,-68.4,-49.9,-60.6,-69.8,-70.6,-57.0
-10.9,-42.9,-56.5,-60.9,-54.5,-63.3,-68.1,-49.3,-60.2,-69.6,-70.4,-56.5
-11.6,-43.0,-56.5,-61.1,-54.5,-63.3,-68.1,-49.3,-60.2,-69.6,-70.4,-56.5
-20.2,-43.6,-56.8,-61.3,-54.8,-63.6,-68.4,-49.9,-60.6,-69.8,-70.6,-57.1
-24.3,-44.3,-57.1,-61.5,-55.1,-64.0,-68.6,-50.4,-61.1,-70.1,-70.9,-57.6
-27.0,-44.9,-57.3,-61.7,-55.4,-64.3,-68.9,-50.9,-61.5,-70.3,-71.1,-58.1
-29.1,-45.5,-57.6,-61.9,-55.7,-64.7,-69.1,-51.6,-61.9,-70.5,-71.3,-58.6
-30.7,-46.1,-57.8,-62.1,-56.0,-65.0,-69.4,-52.4,-62.2,-70.7,-71.5,-59.1
-32.1,-46.6,-58.1,-62.3,-56.3,-65.3,-69.6,-53.1,-62.6,-70.9,-71.7,-59.6
-33.3,-47.2,-58.3,-62.5,-56.5,-65.6,-69.8,-53.8,-63.0,-71.2,-71.9,-60.0
-34.3,-47.7,-58.6,-62.6,-56.8,-65.9,-70.1,-54.4,-63.3,-71.4,-72.1,-60.4
-35.2,-48.2,-58.8,-62.8,-57.1,-66.2,-70.3,-55.1,-63.7,-71.6,-72.3,-60.9
-36.0,-48.6,-59.0,-63.0,-57.4,-66.5,-70.5,-55.7,-64.0,-71.8,-72.5,-61.3
-36.8,-49.1,-59.3,-63.2,-57.6,-66.8,-70.7,-56.3,-64.4,-72.0,-72.7,-61.7
-36.9,-49.2,-59.3,-63.2,-57.7,-66.8,-70.8,-56.4,-64.4,-72.0,-72.7,-61.7
-36.9,-49.2,-59.3,-63.2,-57.7,-66.8,-70.8,-56.4,-64.4,-72.0,-72.7,-61.7
-36.9,-49.2,-59.3,-63.2,-57.7,-66.8,-70.8,-56.4,-64.4,-72.0,-72.7,-61.7
-36.9,-49.2,-59.3,-63.2,-57.7,-66.8,-70.8,-56.4,-64.4,-72.0,-72.7,-61.7
-36.9,-49.2,-59.3,-63.2,-57.7,-66.8,-70.8,-56.4,-64.4,-72.0,-72.7,-61.7
-36.9,-49.2,-59.3,-63.2,-57.7,-66.8,-70.8,-56.4,-64.4,-72.0,-72.7,-61.7
-36.3,-48.8,-59.1,-63.1,-57.4,-66.6,-70.6,-55.9,-64.2,-71.8,-72.5,-61.4
-35.5,-48.3,-58.9,-62.9,-57.2,-66.3,-70.4,-55.3,-63.8,-71.6,-72.3,-61.0
-34.6,-47.8,-58.6,-62.7,-56.9,-66.0,-70.1,-54.7,-63.5,-71.4,-72.1,-60.6
-33.6,-47.3,-58.4,-62.5,-56.6,-65.7,-69.9,-54.0,-63.1,-71.2,-72.0,-60.2
-32.5,-46.8,-58.2,-62.3,-56.4,-65.4,-69.7,-53.3,-62.7,-71.0,-71.8,-59.7
-31.2,-46.3,-57.9,-62.1,-56.1,-65.1,-69.4,-52.6,-62.4,-70.8,-71.6,-59.2
-29.7,-45.7,-57.7,-62.0,-55.8,-64.8,-69.2,-51.9,-62.0,-70.6,-71.3,-58.8
