25.98,0.00
24.90,0.00
22.90,0.00
20.80,0.00
18.70,0.00
16.60,0.00
14.50,0.00
12.50,0.00
10.40,0.00
8.30,0.00
6.20,0.00
4.20,0.00
2.10,0.00
0.00,2.00
0.00,4.00
0.00,6.00
0.00,8.10
0.00,10.10
0.00,10.99
0.00,20.99
0.00,20.99
10.49,30.00
10.49,30.00
10.49,30.00
0.00,20.99
0.00,22.10
0.00,24.20
0.00,26.20
0.00,28.20
0.00,30.20
0.00,32.20
0.00,34.20
0.00,36.20
0.00,38.20
0.00,40.30
0.00,42.30
0.00,44.30
0.00,46.30
0.00,48.30
0.00,50.30
0.00,52.30
0.00,54.30
0.00,56.40
0.00,58.40
0.00,60.40
0.00,62.40
0.00,64.40
0.00,66.40
0.00,68.40
0.00,70.40
0.00,72.50
0.00,74.50
0.00,76.50
0.00,78.50
0.00,80.50
0.00,82.50
0.00,84.50
0.00,86.50
0.00,88.60
0.00,90.60
0.00,92.60
0.00,94.60
0.00,96.60
0.00,98.60
0.00,100.60
0.00,102.60
0.00,104.70
0.00,106.70
0.00,108.70
0.00,110.70
0.00,112.70
0.00,114.70
0.00,116.70
0.00,118.70
0.00,120.80
0.00,122.80
0.00,124.80
0.00,126.80
0.00,128.80
0.00,130.80
0.00,132.80
0.00,134.80
0.00,136.80
0.00,138.80
0.00,140.80
0.00,142.80
0.00,144.80
0.00,146.80
0.00,148.80
0.00,150.80
0.00,152.80
0.00,154.80
0.00,156.80
0.00,158.80
0.00,160.80
0.00,160.80
0.00,158.80
0.00,156.80
0.00,154.80
0.00,152.80
0.00,150.80
0.00,148.80
0.00,146.80
0.00,144.80
0.00,142.80
0.00,140.80
0.00,138.80
0.00,136.80
2.10,134.80
4.20,134.80
6.20,134.80
8.30,134.80
10.40,134.80
12.50,134.80
14.50,134.80
16.60,134.80
18.70,134.80
20.80,134.80
22.90,134.80
24.90,134.80
27.00,134.80
29.10,134.80
31.20,134.80
33.30,134.80
35.30,134.80
37.40,134.80
39.50,134.80
41.60,134.80
43.60,134.80
45.70,134.80
47.80,134.80
49.90,134.80
52.00,134.80
51.96,134.85
51.96,129.86
51.96,129.86
41.47,120.85
41.47,120.85
41.47,120.85
51.96,129.86
52.00,132.80
49.90,134.80
47.80,134.80
45.70,134.80
43.60,134.80
41.60,134.80
39.50,134.80
37.40,134.80
35.30,134.80
33.30,134.80
31.20,134.80
29.10,134.80
27.00,134.80
26.00,136.80
26.00,138.80
26.00,140.80
26.00,142.80
26.00,144.80
26.00,146.80
26.00,148.80
26.00,150.80
26.00,152.80
26.00,154.80
26.00,156.80
26.00,158.80
26.00,160.80
26.00,160.80
