3.00,19.35,0.00,4.00,-26.09
4.00,17.13,0.00,4.00,-28.36
5.00,14.91,0.00,4.00,-30.14
6.00,12.69,0.00,4.00,-50.13
7.00,10.47,0.00,4.00,-49.64
8.00,8.25,0.00,4.00,-49.12
9.00,6.03,0.00,4.00,-48.56
10.00,3.81,0.00,4.00,-47.97
11.00,1.73,0.35,4.00,-47.47
12.00,0.12,1.88,4.00,-47.45
13.00,0.00,4.05,4.00,-48.03
14.00,0.00,6.27,4.00,-48.63
15.00,0.00,8.49,4.00,-49.18
16.00,0.00,10.59,4.00,-49.67
17.00,0.00,12.71,4.00,-50.14
18.00,0.00,14.93,4.00,-50.71
19.00,0.00,17.15,4.00,-51.50
20.00,0.00,19.37,4.00,-52.24
21.00,0.00,20.99,4.00,-52.76
22.00,1.30,22.10,4.00,-53.51
23.00,2.98,23.55,4.00,-54.42
24.00,4.66,25.00,4.00,-55.28
25.00,6.35,26.44,4.00,-56.09
26.00,8.03,27.89,4.00,-56.86
27.00,9.72,29.34,4.00,-57.59
28.00,10.49,30.00,4.00,-57.91
29.00,10.49,30.00,4.00,-57.91
30.00,10.49,30.00,4.00,-57.91
31.00,10.49,30.00,4.00,-57.91
32.00,10.49,30.00,4.00,-57.91
33.00,10.49,30.00,4.00,-57.91
34.00,10.42,29.94,4.00,-57.88
35.00,8.74,28.49,4.00,-57.17
36.00,7.05,27.05,4.00,-56.41
37.00,5.37,25.60,4.00,-55.62
38.00,3.68,24.15,4.00,-54.78
39.00,2.00,22.71,4.00,-53.89
40.00,0.32,21.26,4.00,-52.95
41.00,0.00,22.79,4.00,-53.32
42.00,0.00,25.01,4.00,-53.98
43.00,0.00,27.23,4.00,-54.61
44.00,0.00,29.45,4.00,-55.22
45.00,0.00,31.67,4.00,-55.80
46.00,0.00,33.89,4.00,-56.36
47.00,0.00,36.11,4.00,-56.90
48.00,0.00,38.33,4.00,-57.42
49.00,0.00,40.55,4.00,-57.92
50.00,0.00,42.77,4.00,-58.41
51.00,0.00,44.99,4.00,-58.88
52.00,0.00,47.21,4.00,-59.34
53.00,0.00,49.43,4.00,-59.78
54.00,0.00,51.65,4.00,-60.21
55.00,0.00,53.87,4.00,-60.63
56.00,0.00,56.09,4.00,-61.03
57.00,0.00,58.31,4.00,-61.43
58.00,0.00,60.53,4.00,-61.81
